Subject,Start Date,Start Time,End Date,End Time,Description,Location
ISM Manufacturing PMI,02/02/2026,22:00,02/02/2026,23:00,Forecast: 48.5 | Actual: 52.6 | Previous: 47.9 | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
JOLTS Job Openings,02/05/2026,22:00,02/05/2026,23:00,Forecast: 7.25M | Actual: 6.54M | Previous: 6.93M | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
Prelim UoM Consumer Sentiment,02/06/2026,22:00,02/06/2026,23:00,Forecast: 55.0 | Actual: 57.3 | Previous: 56.4 | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
Prelim UoM Inflation Expectations,02/06/2026,22:00,02/06/2026,23:00,Forecast: N/A | Actual: 3.5% | Previous: 4.0% | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
Core Retail Sales m/m,02/10/2026,20:30,02/10/2026,21:30,Forecast: 0.3% | Actual: 0.0% | Previous: 0.4% | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
Retail Sales m/m,02/10/2026,20:30,02/10/2026,21:30,Forecast: 0.4% | Actual: 0.0% | Previous: 0.6% | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
Average Hourly Earnings m/m,02/11/2026,20:30,02/11/2026,21:30,Forecast: 0.3% | Actual: 0.4% | Previous: 0.1% | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
Non-Farm Employment Change,02/11/2026,20:30,02/11/2026,21:30,Forecast: 66K | Actual: 130K | Previous: 48K | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
Unemployment Rate,02/11/2026,20:30,02/11/2026,21:30,Forecast: 4.4% | Actual: 4.3% | Previous: 4.4% | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
GDP m/m,02/12/2026,14:00,02/12/2026,15:00,Forecast: 0.1% | Actual: 0.1% | Previous: 0.2% | TZ: Asia/Ho_Chi_Minh (from America/Chicago),GBP
Unemployment Claims,02/12/2026,20:30,02/12/2026,21:30,Forecast: 222K | Actual: 227K | Previous: 232K | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
Core CPI m/m,02/13/2026,20:30,02/13/2026,21:30,Forecast: 0.3% | Actual: 0.3% | Previous: 0.2% | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
Core CPI y/y,02/13/2026,20:30,02/13/2026,21:30,Forecast: 2.5% | Actual: 2.5% | Previous: 2.6% | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
CPI m/m,02/13/2026,20:30,02/13/2026,21:30,Forecast: 0.3% | Actual: 0.2% | Previous: 0.3% | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
CPI y/y,02/13/2026,20:30,02/13/2026,21:30,Forecast: 2.5% | Actual: 2.4% | Previous: 2.7% | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
Claimant Count Change,02/17/2026,14:00,02/17/2026,15:00,Forecast: 22.8K | Actual: 28.6K | Previous: 2.7K | TZ: Asia/Ho_Chi_Minh (from America/Chicago),GBP
CPI y/y,02/18/2026,14:00,02/18/2026,15:00,Forecast: 3.0% | Actual: 3.0% | Previous: 3.4% | TZ: Asia/Ho_Chi_Minh (from America/Chicago),GBP
FOMC Meeting Minutes,02/19/2026,02:00,02/19/2026,03:00,Forecast: N/A | Actual: N/A | Previous: N/A | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
Unemployment Claims,02/19/2026,20:30,02/19/2026,21:30,Forecast: 223K | Actual: 206K | Previous: 229K | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
Retail Sales m/m,02/20/2026,14:00,02/20/2026,15:00,Forecast: 0.2% | Actual: 1.8% | Previous: 0.4% | TZ: Asia/Ho_Chi_Minh (from America/Chicago),GBP
German Flash Manufacturing PMI,02/20/2026,15:30,02/20/2026,16:30,Forecast: 49.6 | Actual: 50.7 | Previous: 49.1 | TZ: Asia/Ho_Chi_Minh (from America/Chicago),EUR
German Flash Services PMI,02/20/2026,15:30,02/20/2026,16:30,Forecast: 52.4 | Actual: 53.4 | Previous: 52.4 | TZ: Asia/Ho_Chi_Minh (from America/Chicago),EUR
Flash Manufacturing PMI,02/20/2026,16:30,02/20/2026,17:30,Forecast: 51.5 | Actual: 52.0 | Previous: 51.8 | TZ: Asia/Ho_Chi_Minh (from America/Chicago),GBP
Flash Services PMI,02/20/2026,16:30,02/20/2026,17:30,Forecast: 53.5 | Actual: 53.9 | Previous: 54.0 | TZ: Asia/Ho_Chi_Minh (from America/Chicago),GBP
Advance GDP q/q,02/20/2026,20:30,02/20/2026,21:30,Forecast: 2.8% | Actual: 1.4% | Previous: 4.4% | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
Core PCE Price Index m/m,02/20/2026,20:30,02/20/2026,21:30,Forecast: 0.3% | Actual: 0.4% | Previous: 0.2% | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
Flash Manufacturing PMI,02/20/2026,21:45,02/20/2026,22:45,Forecast: 52.4 | Actual: 51.2 | Previous: 52.4 | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
Flash Services PMI,02/20/2026,21:45,02/20/2026,22:45,Forecast: 53.0 | Actual: 52.3 | Previous: 52.7 | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
President Trump Speaks,02/21/2026,00:45,02/21/2026,01:45,Forecast: N/A | Actual: N/A | Previous: N/A | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
President Trump Speaks,02/25/2026,09:00,02/25/2026,10:00,Forecast: N/A | Actual: N/A | Previous: N/A | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
Unemployment Claims,02/26/2026,20:30,02/26/2026,21:30,Forecast: 217K | Actual: 212K | Previous: 208K | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
Core PPI m/m,02/27/2026,20:30,02/27/2026,21:30,Forecast: 0.3% | Actual: 0.8% | Previous: 0.6% | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
PPI m/m,02/27/2026,20:30,02/27/2026,21:30,Forecast: 0.3% | Actual: 0.5% | Previous: 0.4% | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
